,cluster
0,2
1,3
2,0
3,3
4,3
5,3
6,3
7,2
8,3
9,3
10,3
11,0
12,2
13,1
14,3
15,0
16,2
17,1
18,1
19,2
20,3
21,1
22,0
23,2
24,3
25,2
26,2
27,0
28,0
29,2
30,1
31,2
32,0
33,0
34,2
35,3
36,1
37,0
38,1
39,3
40,2
41,3
42,1
43,2
44,0
45,0
46,1
47,3
48,1
49,3
50,3
51,2
52,3
53,0
54,2
55,2
56,3
57,3
58,1
59,1
60,0
61,3
62,2
63,3
64,2
65,3
66,3
67,0
68,3
69,2
70,0
71,1
72,2
73,2
74,3
75,3
76,0
77,1
78,1
79,3
80,1
81,1
82,1
83,0
84,2
85,1
86,3
87,2
88,3
89,0
90,3
91,0
92,0
93,3
94,2
95,2
96,1
97,1
98,0
99,2
100,2
101,1
102,2
103,3
104,0
105,2
106,1
107,1
108,0
109,0
110,0
111,3
112,1
113,2
114,2
115,2
116,0
117,3
118,2
119,3
120,3
121,3
122,0
123,1
124,2
125,1
126,0
127,3
128,0
129,0
130,3
131,3
132,1
133,0
134,1
135,3
136,1
137,2
138,3
139,2
140,3
141,2
142,3
143,1
144,3
145,3
146,1
147,2
148,2
149,2
150,0
151,2
152,2
153,3
154,0
155,3
156,0
157,2
158,2
159,1
160,2
161,2
162,3
163,3
164,3
165,0
166,3
167,2
168,0
169,3
170,3
171,2
172,1
173,0
174,3
175,0
176,2
177,2
178,2
179,3
180,2
181,1
182,2
183,1
184,3
185,3
186,2
187,2
188,3
189,3
190,1
191,2
192,0
193,3
194,1
195,0
196,1
197,2
198,3
199,2
200,3
201,3
202,3
203,2
204,3
205,2
206,2
207,2
208,2
209,2
210,0
211,2
212,1
213,2
214,2
215,3
216,3
217,2
218,0
219,1
220,2
221,3
222,3
223,0
224,3
225,2
226,3
227,1
228,1
229,0
230,2
231,3
232,3
233,2
234,3
235,2
236,0
237,3
238,0
239,0
240,3
241,3
242,2
243,1
244,2
245,2
246,1
247,0
248,2
249,1
250,2
251,0
252,3
253,3
254,3
255,3
256,2
257,2
258,0
259,2
260,3
261,1
262,3
263,1
264,3
265,0
266,3
267,1
268,0
269,3
270,3
271,2
272,1
273,3
274,3
275,2
276,0
277,2
278,3
279,1
280,3
281,3
282,2
283,2
284,3
285,2
286,0
287,1
288,3
289,2
290,0
291,2
292,2
293,1
294,3
295,2
296,2
297,3
298,1
299,1
300,3
301,0
302,3
303,3
304,1
305,2
306,1
307,1
308,1
309,3
310,3
311,0
312,3
313,3
314,3
315,2
316,3
317,1
318,3
319,2
320,3
321,3
322,3
323,0
324,2
325,0
326,3
327,2
328,3
329,1
330,3
331,2
332,3
333,0
334,1
335,0
336,1
337,2
338,1
339,1
340,3
341,2
342,0
343,2
344,0
345,2
346,3
347,3
348,0
349,2
350,2
351,2
352,0
353,0
354,1
355,0
356,3
357,3
358,2
359,2
360,1
361,2
362,0
363,3
364,0
365,3
366,3
367,2
368,2
369,2
370,2
371,1
372,2
373,1
374,3
375,2
376,2
377,1
378,2
379,1
380,3
381,1
382,0
383,2
384,2
385,3
386,3
387,2
388,3
389,0
390,3
391,3
392,3
393,1
394,0
395,1
396,0
397,3
398,1
399,0
400,2
401,3
402,0
403,0
404,3
405,2
406,1
407,3
408,0
409,1
410,3
411,3
412,0
413,3
414,0
415,0
416,3
417,2
418,1
419,1
420,3
421,2
422,3
423,0
424,1
425,1
426,0
427,3
428,3
429,0
430,3
431,1
432,3
433,2
434,1
435,0
436,3
437,2
438,2
439,0
440,3
441,1
442,1
443,1
444,0
445,2
446,0
447,2
448,2
449,1
450,1
451,3
452,3
453,0
454,2
455,2
456,3
457,3
458,3
459,1
460,3
461,3
462,1
463,3
464,3
465,3
466,0
467,1
468,0
469,1
470,0
471,0
472,3
473,1
474,0
475,2
476,3
477,2
478,0
479,3
480,3
481,3
482,3
483,1
484,2
485,2
486,3
487,3
488,1
489,2
490,2
491,2
492,3
493,3
494,2
495,1
496,0
497,2
498,2
499,1
500,3
501,3
502,3
503,0
504,3
505,3
506,3
507,1
508,2
509,2
510,1
511,2
512,1
513,1
514,3
515,3
516,2
517,0
518,2
519,3
520,2
521,1
522,2
523,1
524,2
525,3
526,2
527,2
528,1
529,2
530,0
531,0
532,3
533,0
534,1
535,2
536,0
537,2
538,3
539,1
540,1
541,3
542,2
543,1
544,3
545,2
546,3
547,2
548,1
549,3
550,2
551,0
552,2
553,2
554,2
555,3
556,3
557,3
558,2
559,2
560,2
561,1
562,1
563,0
564,3
565,3
566,1
567,3
568,2
569,2
570,3
571,2
572,2
573,3
574,3
575,3
576,3
577,2
578,1
579,2
580,0
581,2
582,1
583,1
